'D'-form resistance scalars, generated 28/03/2022 11:08:27
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.00001000e+00  1.00000000e+00  0.00000000e+00  2.50013619e+04  1.52595594e+00 -1.51148449e+00  4.79475617e-02  2.46536395e+00  2.50014228e+04  7.55713936e-01  2.40396211e-01  1.66676687e+04  1.29839954e+00  2.35404761e-02
 2.00001000e+00  1.00000000e+00  1.00000000e+00 -2.50013588e+04 -1.52134920e+00  1.51378276e+00 -3.12732101e-02  5.56004869e-01 -2.50014127e+04 -7.43545827e-01  1.23762188e+00  1.66676381e+04  1.96702235e-01 -1.07941958e-02
 2.00002000e+00  1.00000000e+00  0.00000000e+00  1.25012060e+04  1.41043141e+00 -1.39596840e+00  4.79306840e-02  2.28055009e+00  1.25012668e+04  6.97955890e-01  2.17300554e-01  8.33423141e+03  1.20598248e+00  2.35320372e-02
 2.00002000e+00  1.00000000e+00  1.00000000e+00 -1.25012028e+04 -1.40582467e+00  1.39826667e+00 -3.12563324e-02  5.09803428e-01 -1.25012567e+04 -6.85787782e-01  1.14520988e+00  8.33420078e+03  1.73612316e-01 -1.07857569e-02
 2.00005000e+00  1.00000000e+00  0.00000000e+00  5.00099980e+03  1.25771629e+00 -1.24327651e+00  4.78842209e-02  2.03627578e+00  5.00106072e+03  6.21609945e-01  1.86782992e-01  3.33409400e+03  1.08381744e+00  2.35088056e-02
 2.00005000e+00  1.00000000e+00  1.00000000e+00 -5.00099665e+03 -1.25310955e+00  1.24557478e+00 -3.12098693e-02  4.48740425e-01 -5.00105062e+03 -6.09441836e-01  1.02305878e+00  3.33406339e+03  1.43110551e-01 -1.07625254e-02
 2.00010000e+00  1.00000000e+00  0.00000000e+00  2.50084386e+03  1.14219176e+00 -1.12778747e+00  4.78132443e-02  1.85154328e+00  2.50090482e+03  5.63865424e-01  1.63716981e-01  1.66732342e+03  9.91408607e-01  2.34733173e-02
 2.00010000e+00  1.00000000e+00  1.00000000e+00 -2.50084070e+03 -1.13758502e+00  1.13008574e+00 -3.11388927e-02  4.02565818e-01 -2.50089472e+03 -5.51697315e-01  9.30671242e-01  1.66729284e+03  1.20068673e-01 -1.07270371e-02
 2.00020000e+00  1.00000000e+00  0.00000000e+00  1.25068792e+03  1.02666723e+00 -1.01232814e+00  4.76828435e-02  1.66690015e+00  1.25074897e+03  5.06135759e-01  1.40683534e-01  8.33886229e+02  8.99008804e-01  2.34081170e-02
 2.00020000e+00  1.00000000e+00  1.00000000e+00 -1.25068477e+03 -1.02206049e+00  1.01462641e+00 -3.10084919e-02  3.56420684e-01 -1.25073887e+03 -4.93967651e-01  8.38310559e-01  8.33855687e+02  9.70795624e-02 -1.06618367e-02
 2.00050000e+00  1.00000000e+00  0.00000000e+00  5.00481809e+02  8.73952109e-01 -8.59787771e-01  4.73333414e-02  1.42308161e+00  5.00543099e+02  4.29865574e-01  1.10332037e-01  3.33749079e+02  7.76889831e-01  2.32333659e-02
 2.00050000e+00  1.00000000e+00  1.00000000e+00 -5.00478657e+02 -8.69345364e-01  8.62086036e-01 -3.06589898e-02  2.95507989e-01 -5.00532998e+02 -4.17697465e-01  7.16296436e-01  3.33718654e+02  6.68468959e-02 -1.04870856e-02
 2.00100000e+00  1.00000000e+00  0.00000000e+00  2.50325935e+02  7.58427579e-01 -7.44522183e-01  4.68154574e-02  1.23902126e+00  2.50387574e+02  3.72232780e-01  8.75109316e-02  1.66978876e+02  6.84548925e-01  2.29744239e-02
 2.00100000e+00  1.00000000e+00  1.00000000e+00 -2.50322782e+02 -7.53820834e-01  7.46820448e-01 -3.01411058e-02  2.49555047e-01 -2.50377473e+02 -3.60064671e-01  6.24110896e-01  1.66948623e+02  4.42018709e-02 -1.02281436e-02
 2.00200000e+00  1.00000000e+00  0.00000000e+00  1.25171997e+02  6.43955712e-01 -6.30272709e-01  4.59593671e-02  1.05630542e+00  1.25233632e+02  3.15134853e-01  6.51886170e-02  8.35428857e+01  5.92668829e-01  2.25359932e-02
 2.00200000e+00  1.00000000e+00  1.00000000e+00 -1.25168904e+02 -6.39443283e-01  6.32663491e-01 -2.94820532e-02  2.04386187e-01 -1.25223578e+02 -3.03025447e-01  5.32680972e-01  8.35129184e+01  2.22938893e-02 -9.94287718e-03
 2.00500000e+00  1.00000000e+00  0.00000000e+00  4.99718174e+01  4.94367057e-01 -4.81148246e-01  4.38067222e-02  8.17681176e-01  5.00331702e+01  2.40651045e-01  3.67530913e-02  3.34090442e+01  4.72038183e-01  2.14284869e-02
 2.00500000e+00  1.00000000e+00  1.00000000e+00 -4.99688999e+01 -4.90137337e-01  4.83816458e-01 -2.79185563e-02  1.46196179e-01 -5.00232555e+01 -2.28717162e-01  4.13275139e-01  3.33797986e+01 -5.04549335e-03 -9.29238637e-03
 2.01000000e+00  1.00000000e+00  0.00000000e+00  2.48256969e+01  3.83950593e-01 -3.71200331e-01  4.08606458e-02  6.41327939e-01  2.48861851e+01  1.85801294e-01  1.67683644e-02  1.66438868e+01  3.82044728e-01  1.99033992e-02
 2.01000000e+00  1.00000000e+00  1.00000000e+00 -2.48230728e+01 -3.80191269e-01  3.74330513e-01 -2.59478793e-02  1.04427592e-01 -2.48765044e+01 -1.74158006e-01  3.25127045e-01  1.66156414e+01 -2.34396306e-02 -8.52080640e-03
 2.02000000e+00  1.00000000e+00  0.00000000e+00  1.21890903e+01  2.78273956e-01 -2.65947902e-01  3.61071690e-02  4.71452831e-01  1.22472236e+01  1.33400472e-01 -8.65444068e-04  8.21664320e+00  2.94142254e-01  1.74223779e-02
