                  lambda                      s^                    X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
   1.000000000000000E+00   9.999999747378752E-06   1.239747954367062E+01  -8.511466840286477E+00   8.255530218006550E+00  -3.926279185355826E+00  -1.334381423668817E+00   2.267849105950408E+00   8.126980257061348E+00  -1.015857294197451E+00   8.946995514108961E+00   9.049886461094635E-01   3.391412952699288E+00  -4.790365868047639E+00   4.287680319849650E-01  -7.505260891275269E-01   4.344155290590260E-02   1.150157294816839E+00   7.913327508486542E+00   1.177613605739626E+00   7.397428897639100E+00  -1.536528829088821E+00   6.692809145236945E+00  -4.182901142201446E-01
   1.000000000000000E+00   1.999999949475750E-05   1.239740845112771E+01  -8.511393407007638E+00   8.255475101094447E+00  -3.926218926012421E+00  -1.334343436811735E+00   2.267805874342636E+00   8.126976387277701E+00  -1.015841572858543E+00   8.946967307461108E+00   9.049642729151047E-01   3.391398678037286E+00  -4.790340778502313E+00   4.287545832289778E-01  -7.505054085015023E-01   4.343711606388063E-02   1.150137440465820E+00   7.913324823405144E+00   1.177648311187190E+00   7.397407804586093E+00  -1.536511706805480E+00   6.692807833030234E+00  -4.182795751678758E-01
   1.000000000000000E+00   2.999999924213625E-05   1.239733735826394E+01  -8.511319973361859E+00   8.255419986537413E+00  -3.926158669016079E+00  -1.334305451620163E+00   2.267762644388040E+00   8.126972517633178E+00  -1.015825851856282E+00   8.946939102005286E+00   9.049399007969996E-01   3.391384401638211E+00  -4.790315687558171E+00   4.287411350867316E-01  -7.504847287145450E-01   4.343267955554295E-02   1.150117586715069E+00   7.913322137878726E+00   1.177683014128958E+00   7.397386712303136E+00  -1.536494584631171E+00   6.692806520896208E+00  -4.182690364379530E-01
   1.000000000000000E+00   3.999999898951501E-05   1.239726626507942E+01  -8.511246539349266E+00   8.255364874335292E+00  -3.926098414366647E+00  -1.334267468093999E+00   2.267719416086516E+00   8.126968648127772E+00  -1.015810131190660E+00   8.946910897741427E+00   9.049155297550820E-01   3.391370123502190E+00  -4.790290595215314E+00   4.287276875581867E-01  -7.504640497666060E-01   4.342824338086311E-02   1.150097733564556E+00   7.913319451907260E+00   1.177717714565051E+00   7.397365620790195E+00  -1.536477462565909E+00   6.692805208834860E+00  -4.182584980303649E-01
   1.000000000000000E+00   4.999999873689376E-05   1.239719517157428E+01  -8.511173104969965E+00   8.255309764487945E+00  -3.926038162063986E+00  -1.334229486233139E+00   2.267676189437968E+00   8.126964778761479E+00  -1.015794410861665E+00   8.946882694669458E+00   9.048911597892824E-01   3.391355843629337E+00  -4.790265501473836E+00   4.287142406433042E-01  -7.504433716576377E-01   4.342380753981481E-02   1.150077881014251E+00   7.913316765490769E+00   1.177752412495580E+00   7.397344530047234E+00  -1.536460340609705E+00   6.692803896846185E+00  -4.182479599450992E-01
   1.000000000000000E+00   5.999999848427251E-05   1.239712407774858E+01  -8.511099670224041E+00   8.255254656995222E+00  -3.925977912107952E+00  -1.334191506037481E+00   2.267632964442294E+00   8.126960909534292E+00  -1.015778690869288E+00   8.946854492789305E+00   9.048667908995315E-01   3.391341562019758E+00  -4.790240406333824E+00   4.287007943420446E-01  -7.504226943875916E-01   4.341937203237187E-02   1.150058029064121E+00   7.913314078629192E+00   1.177787107920668E+00   7.397323440074213E+00  -1.536443218762571E+00   6.692802584930182E+00  -4.182374221821443E-01
   1.000000000000000E+00   6.999999823165126E-05   1.239705298360245E+01  -8.511026235111613E+00   8.255199551856974E+00  -3.925917664498397E+00  -1.334153527506923E+00   2.267589741099396E+00   8.126957040446205E+00  -1.015762971213520E+00   8.946826292100900E+00   9.048424230857638E-01   3.391327278673578E+00  -4.790215309795378E+00   4.286873486543678E-01  -7.504020179564187E-01   4.341493685850707E-02   1.150038177714138E+00   7.913311391322551E+00   1.177821800840426E+00   7.397302350871096E+00  -1.536426097024521E+00   6.692801273086844E+00  -4.182268847414885E-01
   1.000000000000000E+00   7.999999797903001E-05   1.239698188913597E+01  -8.510952799632781E+00   8.255144449073059E+00  -3.925857419235181E+00  -1.334115550641364E+00   2.267546519409177E+00   8.126953171497213E+00  -1.015747251894352E+00   8.946798092604181E+00   9.048180563479088E-01   3.391312993590905E+00  -4.790190211858587E+00   4.286739035802349E-01  -7.503813423640706E-01   4.341050201819496E-02   1.150018326964268E+00   7.913308703570827E+00   1.177856491254974E+00   7.397281262437843E+00  -1.536408975395565E+00   6.692799961316166E+00  -4.182163476231199E-01
   1.000000000000000E+00   8.999999772640876E-05   1.239691079434927E+01  -8.510879363787662E+00   8.255089348643324E+00  -3.925797176318157E+00  -1.334077575440698E+00   2.267503299371532E+00   8.126949302687311E+00  -1.015731532911773E+00   8.946769894299067E+00   9.047936906858994E-01   3.391298706771862E+00  -4.790165112523552E+00   4.286604591196067E-01  -7.503606676104999E-01   4.340606751140824E-02   1.149998476814483E+00   7.913306015373990E+00   1.177891179164425E+00   7.397260174774425E+00  -1.536391853875719E+00   6.692798649618146E+00  -4.182058108270268E-01
   1.000000000000000E+00   9.999999747378752E-05   1.239683969924242E+01  -8.510805927576335E+00   8.255034250567627E+00  -3.925736935747179E+00  -1.334039601904825E+00   2.267460080986365E+00   8.126945434016493E+00  -1.015715814265776E+00   8.946741697185491E+00   9.047693260996666E-01   3.391284418216554E+00  -4.790140011790356E+00   4.286470152724438E-01  -7.503399936956570E-01   4.340163333812118E-02   1.149978627264751E+00   7.913303326732045E+00   1.177925864568903E+00   7.397239087880799E+00  -1.536374732464993E+00   6.692797337992777E+00  -4.181952743531973E-01
   1.000000000000000E+00   1.999999949475750E-04   1.239612873058879E+01  -8.510071545345330E+00   8.254483399250432E+00  -3.925134659038292E+00  -1.333659958087116E+00   2.267027987999042E+00   8.126906754956593E+00  -1.015558646315603E+00   8.946459791568847E+00   9.045257393900832E-01   3.391141437194508E+00  -4.789888927580397E+00   4.285126105327292E-01  -7.501333006666362E-01   4.335730994191531E-02   1.149780164763582E+00   7.913276415828296E+00   1.178272580865615E+00   7.397028261274958E+00  -1.536203524362062E+00   6.692784225733999E+00  -4.180899273368158E-01
   1.000000000000000E+00   3.999999898951501E-04   1.239470669767642E+01  -8.508602671472829E+00   8.253382402196801E+00  -3.923930808814526E+00  -1.332901169448874E+00   2.266164297339877E+00   8.126829438536781E+00  -1.015244411348232E+00   8.945896337494537E+00   9.040388884110292E-01   3.390854954767001E+00  -4.789386340115752E+00   4.282439849235742E-01  -7.497201660190776E-01   4.326876308593607E-02   1.149383419644892E+00   7.913222460429175E+00   1.178965262467906E+00   7.396606838841459E+00  -1.535861140945421E+00   6.692758022993155E+00  -4.178793299325390E-01
   1.000000000000000E+00   5.999999848427251E-04   1.239328453796550E+01  -8.507133652413499E+00   8.252282344941476E+00  -3.922727895222162E+00  -1.332143045458108E+00   2.265301266439124E+00   8.126752177678272E+00  -1.014930310894481E+00   8.945333359163788E+00   9.035524668984103E-01   3.390567779261375E+00  -4.788883194548041E+00   4.279756042127043E-01  -7.493073662633961E-01   4.318034930294988E-02   1.148986914166213E+00   7.913168326820031E+00   1.179656943526551E+00   7.396185723864963E+00  -1.535518801329982E+00   6.692731849258555E+00  -4.176688612878111E-01
   1.000000000000000E+00   7.999999797903001E-04   1.239186225226521E+01  -8.505664488999196E+00   8.251183226314883E+00  -3.921525917110115E+00  -1.331385585297458E+00   2.264438894503236E+00   8.126674972334694E+00  -1.014616344877985E+00   8.944770856015271E+00   9.030664743085499E-01   3.390279911596920E+00  -4.788379491624966E+00   4.277074680860857E-01  -7.488949010135949E-01   4.309206838258905E-02   1.148590648082044E+00   7.913114014896305E+00   1.180347624974379E+00   7.395764916049114E+00  -1.535176505614186E+00   6.692705704494988E+00  -4.174585213085840E-01
   1.000000000000000E+00   9.999999747378752E-04   1.239043984138386E+01  -8.504195182060874E+00   8.250085045149373E+00  -3.920324873329200E+00  -1.330628788150889E+00   2.263577180739972E+00   8.126597822459724E+00  -1.014302513222432E+00   8.944208827488580E+00   9.025809100986745E-01   3.389991352692425E+00  -4.787875232094017E+00   4.274395762302168E-01  -7.484827698842783E-01   4.300392011486415E-02   1.148194621147261E+00   7.913059524554370E+00   1.181037307743507E+00   7.395344415097960E+00  -1.534834253896210E+00   6.692679588667290E+00  -4.172483099008919E-01
   1.000000000000000E+00   2.000000094994903E-03   1.238332593646003E+01  -8.496846522463560E+00   8.244608159708916E+00  -3.914333628432034E+00  -1.326854718612271E+00   2.259278456250363E+00   8.126212903439754E+00  -1.012735367464143E+00   8.941405784222628E+00   9.001594954630036E-01   3.388538221479772E+00  -4.785345611099238E+00   4.261037698825674E-01  -7.464271122993785E-01   4.256516117895521E-02   1.146218064873743E+00   7.912784392972352E+00   1.184470774481674E+00   7.393246502676711E+00  -1.533123658441963E+00   6.692549442320511E+00  -4.161991779999411E-01
   1.000000000000000E+00   4.000000189989805E-03   1.236908920150085E+01  -8.482138915390362E+00   8.233724033246817E+00  -3.902420558927929E+00  -1.319355840666404E+00   2.250729918970941E+00   8.125447199090855E+00  -1.009611109530097E+00   8.935834975014208E+00   8.953484854928997E-01   3.385580643144146E+00  -4.780245053069937E+00   4.234502989259236E-01  -7.423406365615157E-01   4.169747264673175E-02   1.142282748935744E+00   7.912220691624832E+00   1.191263340519010E+00   7.389073523930765E+00  -1.529705823304938E+00   6.692291299749959E+00  -4.141105034197852E-01
   1.000000000000000E+00   6.000000284984708E-03   1.235484122981121E+01  -8.467418273027906E+00   8.222931811988788E+00  -3.890599110802198E+00  -1.311921977298502E+00   2.242245949795975E+00   8.124686968119169E+00  -1.006500166404418E+00   8.930310743985709E+00   8.905794578757010E-01   3.382555403667312E+00  -4.775090027056423E+00   4.208207609880276E-01  -7.382869647771729E-01   4.084271878359688E-02   1.138370961082628E+00   7.911638996335707E+00   1.197957519998352E+00   7.384930763723301E+00  -1.526292541184460E+00   6.692035995172734E+00  -4.120345368242218E-01
   1.000000000000000E+00   8.000000379979610E-03   1.234058281186742E+01  -8.452685407776233E+00   8.212230368582505E+00  -3.878868174614380E+00  -1.304552340227515E+00   2.233825783654502E+00   8.123932165143332E+00  -1.003402462974746E+00   8.924832549400014E+00   8.858518886984491E-01   3.379463411037547E+00  -4.769881275679144E+00   4.182148536902904E-01  -7.342657241411918E-01   4.000069754214910E-02   1.134482464070391E+00   7.911039223554962E+00   1.204554230108119E+00   7.380817934362077E+00  -1.522883904594779E+00   6.691783494412424E+00  -4.099711859887803E-01
   1.000000000000000E+00   1.000000047497451E-02   1.232631472980865E+01  -8.437941123375204E+00   8.201618593850123E+00  -3.867226658847136E+00  -1.297246153692872E+00   2.225468667730570E+00   8.123182745214118E+00  -1.000317924677675E+00   8.919399857950500E+00   8.811652625552442E-01   3.376305568113847E+00  -4.764619539107223E+00   4.156322796671241E-01  -7.302765475325975E-01   3.917121045356192E-02   1.130617024210817E+00   7.910421298674073E+00   1.211054381188629E+00   7.376734751896188E+00  -1.519480003510856E+00   6.691533763741632E+00  -4.079203594862100E-01
   1.000000000000000E+00   1.999999955296516E-02   1.225485615742572E+01  -8.364075948277526E+00   8.149867163337380E+00  -3.810323401048449E+00  -1.261640678007184E+00   2.184603325858058E+00   8.119514848210768E+00  -9.850901403572133E-01   8.892900855144932E+00   8.583288156791529E-01   3.359559834508516E+00  -4.737541801939044E+00   4.030593407782854E-01  -7.107991625909436E-01   3.520508280299326E-02   1.111627745953171E+00   7.907057377069425E+00   1.242138137084638E+00   7.356753861164138E+00  -1.502534511755202E+00   6.690325512065599E+00  -3.978509481683851E-01
   1.000000000000000E+00   3.999999910593033E-02   1.211164006583266E+01  -8.215926588576316E+00   8.052499601173757E+00  -3.702643041788153E+00  -1.194775494375805E+00   2.107200850609988E+00   8.112558116606433E+00  -9.555805892050490E-01   8.843031186218662E+00   8.154527236602397E-01   3.321633443157376E+00  -4.679829807951124E+00   3.795056674809824E-01  -6.740531263233159E-01   2.810818480142259E-02   1.075253491524932E+00   7.898948053876847E+00   1.297568294787947E+00   7.318862280969260E+00  -1.469043816308885E+00   6.688098581999429E+00  -3.786010598856873E-01
