   s^              X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
  2.0000100E+00   2.500151954472282E+04  -2.500152203350672E+04   1.541219207827280E+00  -1.538101046602401E+00  -1.537133600988123E+00   1.539757120607857E+00   4.788410228066731E-02  -3.101792942464987E-02   2.516109730707067E+00   5.801144406648224E-01   2.500171236210670E+04  -2.500166173662080E+04   7.938939138023020E-01  -7.660342376118748E-01   2.777597718199485E-01   1.304225852597074E+00   1.666787185591778E+04   1.666803505907542E+04   1.284999273441743E+00   4.091138039212771E-01   2.352221502262175E-02  -1.060760908097731E-02
  2.0000200E+00   1.250136360116845E+04  -1.250136609034247E+04   1.425703863885973E+00  -1.422586559732977E+00  -1.421623840896899E+00   1.424248234641748E+00   4.786786952610189E-02  -3.100367192929479E-02   2.331300567754357E+00   5.339170621749316E-01   1.250155642047513E+04  -1.250150579679172E+04   7.361381096445976E-01  -7.082796387658434E-01   2.546648542646955E-01   1.211817166309683E+00   8.334434565140202E+03   8.334597767691992E+03   1.192585730289131E+00   3.860210316027557E-01   2.351399486448669E-02  -1.060092673043557E-02
  2.0000300E+00   8.334605719273603E+03  -8.334608208837753E+03   1.358135531627451E+00  -1.355019084547673E+00  -1.354060656563266E+00   1.356685924435287E+00   4.785250882858905E-02  -3.099028645807153E-02   2.223205312314770E+00   5.068980557839852E-01   8.334798539914680E+03  -8.334747918033692E+03   7.023555934021917E-01  -6.744983277975560E-01   2.411588611689165E-01   1.157765695402216E+00   5.556595981496154E+03   5.556759183151746E+03   1.138529664112218E+00   3.725168873102129E-01   2.350621073435777E-02  -1.059468036628931E-02
  2.0000400E+00   6.251207671804147E+03  -6.251210161758435E+03   1.310197704919174E+00  -1.307082114913948E+00  -1.306127694729736E+00   1.308753836730983E+00   4.783771443801266E-02  -3.097746726086434E-02   2.146518014424387E+00   4.877309706910256E-01   6.251400493397585E+03  -6.251349873318965E+03   6.783881884463369E-01  -6.505321280782670E-01   2.315786588571668E-01   1.119418373167679E+00   4.167663953720430E+03   4.167827154291391E+03   1.100177916478975E+00   3.629383413232420E-01   2.349870975717705E-02  -1.058871711348192E-02
  2.0000500E+00   5.001157478767658E+03  -5.001159969112092E+03   1.273016298008030E+00  -1.269901565078690E+00  -1.268950942248634E+00   1.271577958381162E+00   4.782334114348252E-02  -3.096506912678468E-02   2.087040355275383E+00   4.728662446194120E-01   5.001350301029433E+03  -5.001299682753125E+03   6.597988882031944E-01  -6.319440330341386E-01   2.241495097543917E-01   1.089675996638890E+00   3.334297161924566E+03   3.334460361270864E+03   1.070431240858956E+00   3.555107054384883E-01   2.349141932750021E-02  -1.058296436657012E-02
  2.0000600E+00   4.167783137292719E+03  -4.167785628027306E+03   1.242638556457825E+00  -1.239524680605704E+00  -1.238577687447427E+00   1.241205577713292E+00   4.780930341766076E-02  -3.095300652849456E-02   2.038448056402938E+00   4.607228182162286E-01   4.167975959996544E+03  -4.167925343522491E+03   6.446113368364964E-01  -6.167576868289052E-01   2.180809098423339E-01   1.065376400925237E+00   2.778714270923675E+03   2.778877468933791E+03   1.046127446703345E+00   3.494435047169876E-01   2.348429668165752E-02  -1.057737936188613E-02
  2.0000700E+00   3.572510372315538E+03  -3.572512863440287E+03   1.216955960676324E+00  -1.213842941902753E+00  -1.212899438990675E+00   1.215528203391929E+00   4.779554474694692E-02  -3.094122295239432E-02   1.997367571455904E+00   4.504573116753284E-01   3.572703195273272E+03  -3.572652580601419E+03   6.317712886785198E-01  -6.039188437948446E-01   2.129511861719991E-01   1.044832795897065E+00   2.381865764050003E+03   2.382028960631254E+03   1.025579726928411E+00   3.443150854243680E-01   2.347731356284988E-02  -1.057193384263130E-02
  2.0000800E+00   3.126051770449159E+03  -3.126054261964076E+03   1.194709912369555E+00  -1.191597750675868E+00  -1.190657618667660E+00   1.193287257206358E+00   4.778202496482087E-02  -3.092967823196413E-02   1.961785203574349E+00   4.415663056017208E-01   3.126244593499772E+03  -3.126193980630061E+03   6.206494546239046E-01  -5.927982148265986E-01   2.085086410958468E-01   1.027038321074452E+00   2.084226699075036E+03   2.084389894148127E+03   1.007781209004275E+00   3.398737635697034E-01   2.347044988781688E-02  -1.056660772554698E-02
  2.0000900E+00   2.778803061135930E+03  -2.778805553041024E+03   1.175088589831781E+00  -1.171977285219309E+00  -1.171040419788876E+00   1.173670932467070E+00   4.776871403880056E-02  -3.091834233472332E-02   1.930402083197916E+00   4.337250862092213E-01   2.778995884138664E+03  -2.778945273071039E+03   6.108399313278949E-01  -5.829898965794126E-01   2.045909267305286E-01   1.011343532667472E+00   1.852727562315695E+03   1.852890755811346E+03   9.920824401312651E-01   3.359572014806879E-01   2.346369064031850E-02  -1.056138599439385E-02
  2.0001000E+00   2.501001591304375E+03  -2.501004083599653E+03   1.157537686901426E+00  -1.154427239371501E+00  -1.153493547848326E+00   1.156124934668069E+00   4.775558865771834E-02  -3.090719194950436E-02   1.902331355528058E+00   4.267119425955428E-01   2.501194414134209E+03  -2.501143804868614E+03   6.020655715374913E-01  -5.742167418002889E-01   2.010871946182500E-01   9.973049962835016E-01   1.667526585074760E+03   1.667689776931456E+03   9.780399789234111E-01   3.324545586253213E-01   2.345702416477069E-02  -1.055625699358954E-02
  2.0002000E+00   1.250845772640791E+03  -1.250848268838332E+03   1.042104965360968E+00  -1.039003088729658E+00  -1.038097492108044E+00   1.040737620456056E+00   4.763163440085383E-02  -3.080298584101895E-02   1.717735214401518E+00   3.806074071235002E-01   1.251038588826537E+03  -1.250987997578139E+03   5.443583074724935E-01  -5.165215257835090E-01   1.780611354525186E-01   9.049773904389854E-01   8.340893937482327E+02   8.342525668006508E+02   8.856753135329531E-01   3.094369138037952E-01   2.339400915780954E-02  -1.050861444622933E-02
  2.0004000E+00   6.256900897318943E+02  -6.256925937362615E+02   9.267639347765819E-01  -9.236792003402944E-01  -9.228182751015981E-01   9.254758871197644E-01   4.740682384314621E-02  -3.061766170790425E-02   1.533347370992610E+00   3.345966344433402E-01   6.258828771044497E+02  -6.258323218735583E+02   4.867002375176095E-01  -4.588875406683590E-01   1.551012449951504E-01   8.127313294264841E-01   4.173189637754047E+02   4.174820916205318E+02   7.933620564179502E-01   2.864860184877337E-01   2.327952796744537E-02  -1.042486569977050E-02
  2.0006000E+00   4.172657991739838E+02  -4.172683109882424E+02   8.593697596344418E-01  -8.563021679209941E-01  -8.554772385934741E-01   8.581523350966380E-01   4.719944563001310E-02  -3.044975676064501E-02   1.425648435439976E+00   3.077559439795831E-01   4.174585460546454E+02  -4.174080268187643E+02   4.530112723827953E-01  -4.252226453743467E-01   1.417211767745832E-01   7.588349545288523E-01   2.783694492616704E+02   2.785325262226938E+02   7.394037065964225E-01   2.731090447418764E-01   2.317376274510319E-02  -1.034981629578297E-02
  2.0008000E+00   3.130346746664141E+02  -3.130371942936251E+02   8.116059339969104E-01  -8.085554855310385E-01  -8.077609340885011E-01   8.104535158875381E-01   4.700338476684496E-02  -3.029315600962967E-02   1.349341194988583E+00   2.887617664109751E-01   3.132273735040868E+02  -3.131768902407489E+02   4.291346878046911E-01  -4.013701156501063E-01   1.322609806206471E-01   7.206378248620114E-01   2.088820371577084E+02   2.090450595959767E+02   7.011479886920657E-01   2.636481214781941E-01   2.307365599548228E-02  -1.028040874877180E-02
  2.0010000E+00   2.504847366600330E+02  -2.504872641032534E+02   7.745983723054606E-01  -7.715650676088227E-01  -7.707967280784565E-01   7.735067959802762E-01   4.681573704354891E-02  -3.014495524976432E-02   1.290231480470405E+00   2.740659080187592E-01   2.506773818639504E+02  -2.506269345507168E+02   4.106341670134329E-01  -3.828936347377560E-01   1.249474309290743E-01   6.910419845707580E-01   1.671820765606174E+02   1.673450418053791E+02   6.714960755928037E-01   2.563310105078400E-01   2.297775561553661E-02  -1.021519096549173E-02
