   s^              X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
  2.0000100E+00   2.500358579131344E+04  -2.500294061131344E+04   2.917140910828371E+00  -2.192480910828372E+00  -1.759530504932926E+00   1.917731971599592E+00   1.402380811790892E+00  -2.003274784575584E-01   4.007275649725226E+00   7.309458816830663E-01   2.500227759759882E+04  -2.500246013093214E+04   8.653552524664628E-01  -8.911219191331293E-01   2.850000306375990E-01   1.495918735066547E+00   1.666919074383586E+04   1.666823132800971E+04   2.517904089714926E+00   1.530256657398069E-01   1.138990405895446E+00  -8.032262811766808E-02
  2.0000200E+00   1.250342983591030E+04  -1.250278465591030E+04   2.801616380735047E+00  -2.076956380735047E+00  -1.644014413698854E+00   1.802215880365521E+00   1.402363934072385E+00  -2.003106007390520E-01   3.822461785664542E+00   6.847444409941158E-01   1.250212165358814E+04  -1.250230418692147E+04   8.075972068494273E-01  -8.333638735160939E-01   2.619043736086756E-01   1.403506739720653E+00   8.335753452610770E+03   8.334794042410524E+03   2.425487031053480E+00   1.299357471351757E-01   1.138981967036192E+00  -8.031418925841487E-02
  2.0000300E+00   8.336671942166646E+03  -8.336026762166646E+03   2.734038862717020E+00  -2.009378862717019E+00  -1.576444898499960E+00   1.734646365166627E+00   1.402347928434119E+00  -2.002945951007852E-01   3.714361829315651E+00   6.577213725834851E-01   8.335363770648286E+03  -8.335546303981619E+03   7.738124492499803E-01  -7.995791159166469E-01   2.483976410948403E-01   1.349451959854727E+00   5.557914868519134E+03   5.556955463654101E+03   2.371427449496074E+00   1.164344565383511E-01   1.138973964217059E+00  -8.030618643928147E-02
  2.0000400E+00   6.253273882848327E+03  -6.252628702848327E+03   2.686091850641723E+00  -1.961431850641723E+00  -1.528505606078736E+00   1.686707072745403E+00   1.402332489125975E+00  -2.002791557926410E-01   3.637669830714624E+00   6.385502256502059E-01   6.251965721751501E+03  -6.252148255084835E+03   7.498428030393680E-01  -7.756094697060346E-01   2.388166994206440E-01   1.311101328761771E+00   4.168982840295748E+03   4.168023440577152E+03   2.333072186610675E+00   1.068587642289238E-01   1.138966244562987E+00  -8.029846678520940E-02
  2.0000500E+00   5.003223677962920E+03  -5.002578497962920E+03   2.648901258756021E+00  -1.924241258756021E+00  -1.491322523287490E+00   1.649523989954156E+00   1.402317470937062E+00  -2.002641376037289E-01   3.578187471053626E+00   6.236814379176256E-01   5.001915527003371E+03  -5.002098060336704E+03   7.312512616437451E-01  -7.570179283104116E-01   2.313868110110275E-01   1.281355643474598E+00   3.335616048052148E+03   3.334656653339614E+03   2.303321995866828E+00   9.943398200353745E-02   1.138958735468531E+00  -8.029095769075333E-02
  2.0000600E+00   4.169849324639011E+03  -4.169204144639010E+03   2.618514332623695E+00  -1.893854332623696E+00  -1.460942938453674E+00   1.619144405120341E+00   1.402302788340043E+00  -2.002494550067092E-01   3.529590471867822E+00   6.115339500328172E-01   4.168541183590213E+03  -4.168723716923547E+03   7.160614692268372E-01  -7.418281358935038E-01   2.253174718477292E-01   1.257052739102591E+00   2.780033156603447E+03   2.779073766785111E+03   2.279014686715714E+00   9.336963492322577E-02   1.138951394170021E+00  -8.028361639224352E-02
  2.0000700E+00   3.574576547812806E+03  -3.573931367812806E+03   2.592822552652486E+00  -1.868162552652486E+00  -1.435258360241829E+00   1.593459826908495E+00   1.402288384821315E+00  -2.002350514879810E-01   3.488505286806054E+00   6.012643821896224E-01   3.573268416486384E+03  -3.573450949819718E+03   7.032191801209144E-01  -7.289858467875810E-01   2.201870089817503E-01   1.236505825516088E+00   2.383184649281890E+03   2.382225264264728E+03   2.258463452073594E+00   8.824406925361450E-02   1.138944192410657E+00  -8.027641463287939E-02
  2.0000800E+00   3.128117934097348E+03  -3.127472754097348E+03   2.570567320548399E+00  -1.845907320548399E+00  -1.413010210441221E+00   1.571211677107887E+00   1.402274220214356E+00  -2.002208868810228E-01   3.452918219008380E+00   5.923693149930389E-01   3.126809812332037E+03  -3.126992345665371E+03   6.920951052206105E-01  -7.178617718872770E-01   2.157437247655459E-01   1.218708042235163E+00   2.085545583858964E+03   2.084586203563337E+03   2.240661419410582E+00   8.380560100377593E-02   1.138937110107178E+00  -8.026933232940028E-02
  2.0000900E+00   2.780869212934989E+03  -2.780224032934989E+03   2.550936814605668E+00  -1.826276814605668E+00  -1.393386682362325E+00   1.551588149028992E+00   1.402260264486686E+00  -2.002069311533522E-01   3.421530398914427E+00   5.845240346568712E-01   2.779561100589792E+03  -2.779743633923126E+03   6.822833411811627E-01  -7.080500078478292E-01   2.118252713157633E-01   1.203009945469886E+00   1.854046446651591E+03   1.853087071007873E+03   2.224959135927003E+00   7.989189250140133E-02   1.138930132243343E+00  -8.026235446556498E-02
  2.0001000E+00   2.503067731254249E+03  -2.502422551254249E+03   2.533376728662697E+00  -1.808716728662697E+00  -1.375833481499130E+00   1.534034948165797E+00   1.402246494327134E+00  -2.001931609938004E-01   3.393454971725640E+00   5.775068302788205E-01   2.501759628203912E+03  -2.501942161537245E+03   6.735067407495653E-01  -6.992734074162318E-01   2.083208001746035E-01   1.188968100827627E+00   1.668845468962548E+03   1.667886097908884E+03   2.210913160236878E+00   7.639210321448914E-02   1.138923247163567E+00  -8.025546938578909E-02
  2.0002000E+00   1.252911794095889E+03  -1.252266614095889E+03   2.417852198569373E+00  -1.693192198569373E+00  -1.260374151789230E+00   1.418575618455897E+00   1.402116093560286E+00  -2.000627602269528E-01   3.208811846329660E+00   5.313616970218473E-01   1.251603779066070E+03  -1.251786312399403E+03   6.157770758946151E-01  -6.415437425612817E-01   1.852873537761711E-01   1.096607417899582E+00   8.354082731508707E+02   8.344489455641284E+02   2.118513357078780E+00   5.340299307678494E-02   1.138858046780143E+00  -8.019026900236530E-02
  2.0004000E+00   6.277558741815070E+02  -6.271106941815070E+02   2.302327668476049E+00  -1.577667668476049E+00  -1.144968470009744E+00   1.303169936676410E+00   1.401878396932610E+00  -1.998250635992762E-01   3.024330093908366E+00   4.852697825118451E-01   6.264480195969109E+02  -6.266305529302442E+02   5.580742350048719E-01  -5.838409016715386E-01   1.623127055094730E-01   1.004295232700633E+00   4.186378341854763E+02   4.176785858309432E+02   2.026129862891527E+00   3.050916166349687E-02   1.138739198466305E+00  -8.007142068852700E-02
  2.0006000E+00   4.193313465969781E+02  -4.186861665969780E+02   2.234750150458021E+00  -1.510090150458021E+00  -1.077501079503159E+00   1.235702546169825E+00   1.401658141909725E+00  -1.996048085763918E-01   2.916537328633941E+00   4.583480217959848E-01   4.180236406845223E+02  -4.182061740178556E+02   5.243405397515793E-01  -5.501072064182461E-01   1.489179016584082E-01   9.503327735565544E-01   2.796883106494737E+02   2.787291357132816E+02   1.972101327240583E+00   1.718924452021270E-02   1.138629070954862E+00  -7.996129317708482E-02
  2.0008000E+00   3.150999850417916E+02  -3.144548050417916E+02   2.186803138382724E+00  -1.462143138382724E+00  -1.029658531638078E+00   1.187859998304744E+00   1.401449213489294E+00  -1.993958801559605E-01   2.840136337657794E+00   4.392728454624000E-01   3.137924201560197E+02  -3.139749534893530E+02   5.004192658190387E-01  -5.261859324857054E-01   1.394429920177452E-01   9.120695995423521E-01   2.102008894935244E+02   2.092417842001391E+02   1.933775474700251E+00   7.785370542496390E-03   1.138524606744647E+00  -7.985682896686913E-02
